***Ebeam     Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.7000   4.0300   8.4000   0.0739   0.9252  0.19644E+03  0.19644E+03  0.41555E-02  0.27865E+03  0.10512E+01  0.19459E+02  0.25814E+03  0.10000E+01
   10.7000   4.0400   8.4000   0.0742   0.9275  0.19654E+03  0.19654E+03  0.41629E-02  0.27838E+03  0.10374E+01  0.19314E+02  0.25803E+03  0.10000E+01
   10.7000   4.0500   8.4000   0.0745   0.9298  0.19664E+03  0.19663E+03  0.41703E-02  0.27813E+03  0.10238E+01  0.19171E+02  0.25794E+03  0.10000E+01
   10.7000   4.0600   8.4000   0.0748   0.9321  0.19675E+03  0.19674E+03  0.41779E-02  0.27789E+03  0.10103E+01  0.19030E+02  0.25785E+03  0.10000E+01
   10.7000   4.0700   8.4000   0.0751   0.9344  0.19686E+03  0.19686E+03  0.41855E-02  0.27766E+03  0.99707E+00  0.18894E+02  0.25777E+03  0.10000E+01
   10.7000   4.0800   8.4000   0.0754   0.9367  0.19697E+03  0.19697E+03  0.41932E-02  0.27747E+03  0.98401E+00  0.18755E+02  0.25773E+03  0.10000E+01
   10.7000   4.0900   8.4000   0.0757   0.9389  0.19709E+03  0.19708E+03  0.42010E-02  0.27723E+03  0.97113E+00  0.18617E+02  0.25764E+03  0.10000E+01
   10.7000   4.1000   8.4000   0.0760   0.9412  0.19720E+03  0.19719E+03  0.42088E-02  0.27697E+03  0.95843E+00  0.18481E+02  0.25754E+03  0.10000E+01
   10.7000   4.1100   8.4000   0.0763   0.9435  0.19731E+03  0.19731E+03  0.42168E-02  0.27673E+03  0.94591E+00  0.18345E+02  0.25744E+03  0.10000E+01
   10.7000   4.1200   8.4000   0.0766   0.9458  0.19741E+03  0.19740E+03  0.42248E-02  0.27650E+03  0.93354E+00  0.18211E+02  0.25735E+03  0.10000E+01
   10.7000   4.1300   8.4000   0.0769   0.9481  0.19751E+03  0.19750E+03  0.42329E-02  0.27622E+03  0.92134E+00  0.18078E+02  0.25722E+03  0.10000E+01
   10.7000   4.1400   8.4000   0.0772   0.9504  0.19759E+03  0.19759E+03  0.42411E-02  0.27602E+03  0.90931E+00  0.17946E+02  0.25717E+03  0.10000E+01
   10.7000   4.1500   8.4000   0.0775   0.9527  0.19779E+03  0.19779E+03  0.42494E-02  0.27588E+03  0.89746E+00  0.17815E+02  0.25717E+03  0.10000E+01
   10.7000   4.1600   8.4000   0.0778   0.9550  0.19806E+03  0.19806E+03  0.42577E-02  0.27565E+03  0.88578E+00  0.17685E+02  0.25708E+03  0.10000E+01
   10.7000   4.1700   8.4000   0.0781   0.9573  0.19816E+03  0.19815E+03  0.42662E-02  0.27551E+03  0.87425E+00  0.17661E+02  0.25698E+03  0.10000E+01
   10.7000   4.1800   8.4000   0.0784   0.9596  0.19823E+03  0.19822E+03  0.42747E-02  0.27518E+03  0.86289E+00  0.17430E+02  0.25688E+03  0.10000E+01
   10.7000   4.1900   8.4000   0.0787   0.9619  0.19834E+03  0.19833E+03  0.42834E-02  0.27496E+03  0.85169E+00  0.17304E+02  0.25680E+03  0.10000E+01
   10.7000   4.2000   8.4000   0.0790   0.9642  0.19844E+03  0.19844E+03  0.42921E-02  0.27474E+03  0.84067E+00  0.17179E+02  0.25672E+03  0.10000E+01
   10.7000   4.2100   8.4000   0.0794   0.9665  0.19857E+03  0.19856E+03  0.43009E-02  0.27453E+03  0.82991E+00  0.17055E+02  0.25665E+03  0.10000E+01
   10.7000   4.2200   8.4000   0.0797   0.9688  0.19868E+03  0.19868E+03  0.43098E-02  0.27432E+03  0.81901E+00  0.16932E+02  0.25657E+03  0.10000E+01
   10.7000   4.2300   8.4000   0.0800   0.9711  0.19880E+03  0.19880E+03  0.43188E-02  0.27411E+03  0.80911E+00  0.16809E+02  0.25649E+03  0.10000E+01
   10.7000   4.2400   8.4000   0.0803   0.9734  0.19890E+03  0.19890E+03  0.43279E-02  0.27391E+03  0.79891E+00  0.16694E+02  0.25642E+03  0.10000E+01
   10.7000   4.2500   8.4000   0.0806   0.9757  0.19901E+03  0.19901E+03  0.43370E-02  0.27370E+03  0.78889E+00  0.16574E+02  0.25634E+03  0.10000E+01
   10.7000   4.2600   8.4000   0.0809   0.9780  0.19915E+03  0.19914E+03  0.43463E-02  0.27350E+03  0.77896E+00  0.16455E+02  0.25626E+03  0.10000E+01
   10.7000   4.2700   8.4000   0.0812   0.9803  0.19925E+03  0.19925E+03  0.43557E-02  0.27336E+03  0.76915E+00  0.16340E+02  0.25625E+03  0.10000E+01
   10.7000   4.2800   8.4000   0.0816   0.9826  0.19947E+03  0.19946E+03  0.43651E-02  0.27318E+03  0.75947E+00  0.16218E+02  0.25620E+03  0.10000E+01
   10.7000   4.2900   8.4000   0.0819   0.9849  0.19973E+03  0.19973E+03  0.43746E-02  0.27302E+03  0.74991E+00  0.16102E+02  0.25616E+03  0.10000E+01
   10.7000   4.3000   8.4000   0.0822   0.9872  0.19983E+03  0.19983E+03  0.43843E-02  0.27281E+03  0.74047E+00  0.15988E+02  0.25608E+03  0.10000E+01
   10.7000   4.3100   8.4000   0.0825   0.9895  0.19996E+03  0.19995E+03  0.43940E-02  0.27260E+03  0.73114E+00  0.15874E+02  0.25600E+03  0.10000E+01
   10.7000   4.3200   8.4000   0.0828   0.9918  0.20004E+03  0.20003E+03  0.44039E-02  0.27239E+03  0.72194E+00  0.15762E+02  0.25590E+03  0.10000E+01
   10.7000   4.3300   8.4000   0.0832   0.9940  0.20015E+03  0.20015E+03  0.44138E-02  0.27219E+03  0.71285E+00  0.15650E+02  0.25583E+03  0.10000E+01
   10.7000   4.3400   8.4000   0.0835   0.9963  0.20029E+03  0.20028E+03  0.44238E-02  0.27201E+03  0.70387E+00  0.15540E+02  0.25577E+03  0.10000E+01
   10.7000   4.3500   8.4000   0.0838   0.9986  0.20040E+03  0.20040E+03  0.44339E-02  0.27184E+03  0.69500E+00  0.15439E+02  0.25570E+03  0.10000E+01
   10.7000   4.3600   8.4000   0.0841   1.0009  0.20051E+03  0.20051E+03  0.44442E-02  0.27164E+03  0.68626E+00  0.15322E+02  0.25564E+03  0.10000E+01
   10.7000   4.3700   8.4000   0.0845   1.0032  0.20063E+03  0.20062E+03  0.44545E-02  0.27146E+03  0.67762E+00  0.15214E+02  0.25557E+03  0.10000E+01
   10.7000   4.3800   8.4000   0.0848   1.0055  0.20077E+03  0.20077E+03  0.44649E-02  0.27128E+03  0.66911E+00  0.15108E+02  0.25550E+03  0.10000E+01
